company_id,name,website,phone,city,industry,trade,deal_id,deal_stage
321770333941,"HVAC and Plumbing West Palm Beach | Premier Comfort Services, Inc.",https://www.premiercomfortac.com,(561) 444-3670,West Palm Beach,CONSTRUCTION,plumber,324434334427,appointmentscheduled
321770333942,Lindstrom Air Conditioning & Plumbing,https://www.lindstromair.com,(561) 264-7402,Wellington,CONSTRUCTION,plumber,324434334429,appointmentscheduled
321832383223,Coastal Restoration Specialists,https://homerestorationflorida.com,(772) 266-9818,Lake Worth Corridor,CONSTRUCTION,restoration crew,324437920458,qualifiedtobuy
