ts,company_name,action,platform,url_or_handle,result
2026-06-01 11:17:48,Mike the Plumber Inc,staged_follow_and_comment,fb,https://www.facebook.com/Miketheplumberinc/,tab_opened
2026-06-01 11:17:48,Malachi's Tree Service LLC,staged_follow_only,fb,https://www.facebook.com/malstreeservice/,tab_opened
2026-06-01 16:30:04,Race Construction Inc,staged_follow_and_comment,fb,https://www.facebook.com/Raceconstructionfl/,tab_opened
2026-06-01 16:30:04,Roofing System of Florida Inc,staged_follow_only,fb,https://www.facebook.com/RoofingSystemOfFlorida/,tab_opened
2026-06-02 10:30:05,Horizon Pool and Patio,staged_follow_and_comment,fb,https://www.facebook.com/horizonpool561/,tab_opened
2026-06-02 10:30:05,All Town Plumbing Inc,staged_follow_only,fb,https://www.facebook.com/Alltownplumbinginc/,tab_opened
