Company Name,Phone,Address,City,State,Zip,Website,Type,Notes
Sloan Construction Group,321-288-8823,,Melbourne,FL,,https://www.scgflorida.net/,General Contractor,Residential & commercial construction
Mike Willis Roofing & Construction,321-254-7176,,Melbourne,FL,,https://www.mikewillisroofing.com/local-construction-contractor,General Contractor,Roofing + general contracting
Certified General Contractors Inc,321-984-5000,730 E Strawbridge Ave Ste 100,Melbourne,FL,32901,,General Contractor,Established firm with project management
Green Planet Construction Services,,,Melbourne,FL,,,"General Contractor, Remodeling",30+ years experience in Brevard
Celtic Home Improvement LLC,,,Melbourne,FL,,,"General Contractor, Insurance Restoration",40+ years experience; specializes in water/mold/fire damage
Skyden Contractors,321-499-4282,,Melbourne,FL,,,"General Contractor, Remodeling",Kitchen/bath/flooring/full renovations
